Site;Annee;nom_protocole;groupe_taxonomique;espece;effectifs
MECHO;2017;Transect arthropode Session 2;Arachnida;Theridion;1
ANTHEU;2018;Transect arthropode Session 1;Arachnida;Theridion;1
PULMA;2018;Transect arthropode Session 1;Diptera;Thecophora atra;1
CD93;2018;Transect arthropode Session 2;Diptera;Thecophora atra;1
CD93;2019;Transect arthropodes P1;Diptères;Thecophora atra;1
CIROB;2019;Transect arthropodes P2;Diptères;Thecophora atra;1
PROMA;2019;Transect arthropodes P2;Diptères;Thecophora atra;1
GRENEL;2018;Transect arthropode Session 2;Diptera;Thaumatomyia notata;1
MECHO;2019;Transect arthropodes P1;Diptères;Thaumatomyia notata;1
OLSER;2017;Transect arthropode Session 1;Orthoptera;Tettigonia viridissima;1
GOOPL;2017;Transect arthropode Session 1;Orthoptera;Tettigonia viridissima;1
SEINE;2018;Transect arthropode Session 1;Orthoptera;Tettigonia viridissima;1
KELLER;2019;Transect arthropodes P2;Orthoptères;Tettigonia viridissima;1
OLSER;2019;Transect arthropodes P2;Orthoptères;Tettigonia viridissima;1
OLSER;2017;Transect arthropode Session 1;Hymenoptera;Tetramorium;1
BOUTOU;2017;Transect arthropode Session 1;Hymenoptera;Tetramorium;1
ROROL;2017;Plaques;Hymenoptera;Tetramorium;1
FRANK;2017;Transect arthropode Session 2;Hymenoptera;Tetramorium;1
FRANK;2017;Plaques;Hymenoptera;Tetramorium;1
MECHO;2017;Transect arthropode Session 2;Hymenoptera;Tetramorium;1
OLSER;2017;Transect arthropode Session 2;Hymenoptera;Tetramorium;1
CIMOD;2017;Transect arthropode Session 2;Hymenoptera;Tetramorium;1
RUWAT;2017;Transect arthropode Session 2;Hymenoptera;Tetramorium;1
GTMBA;2017;Transect arthropode Session 2;Hymenoptera;Tetramorium;1
CIMOD;2018;Transect arthropode Session 1;Hymenoptera;Tetramorium;1
MUENT;2018;Transect arthropode Session 1;Hymenoptera;Tetramorium;1
ROROL;2018;Transect arthropode Session 1;Hymenoptera;Tetramorium;1
FRANK;2018;Transect arthropode Session 1;Hymenoptera;Tetramorium;1
ROROL;2018;Plaques;Hymenoptera;Tetramorium;1
BOUCHA;2018;Transect arthropode Session 2;Hymenoptera;Tetramorium;1
BOUTOU;2018;Transect arthropode Session 2;Hymenoptera;Tetramorium;1
GTMBA;2018;Transect arthropode Session 2;Hymenoptera;Tetramorium;1
CHAVIN;2018;Transect arthropode Session 2;Hymenoptera;Tetramorium;1
ECOBIO_PRAIRIE;2019;Transect arthropodes P1;Hyménoptères;Tetramorium;1
GTMBA;2019;Transect arthropodes P1;Hyménoptères;Tetramorium;1
MECHO;2019;Transect arthropodes P1;Hyménoptères;Tetramorium;1
OLSER;2019;Transect arthropodes P1;Hyménoptères;Tetramorium;1
ECOBIO_BOIS;2017;Transect arthropode Session 2;Arachnida;Tetragnata;1
PULMA;2017;Transect arthropode Session 2;Arachnida;Tetragnata;1
FAUTEM;2017;Transect arthropode Session 1;Diptera;Tephritis formosa;1
MECHO;2017;Transect arthropode Session 1;Diptera;Tephritis formosa;1
ALBAR;2019;Transect arthropodes P1;Diptères;Tephritis formosa;1
CIROB;2019;Transect arthropodes P2;Diptères;Tephritis formosa;1
GUER;2019;Transect arthropodes P2;Diptères;Tephritis formosa;1
OLSER;2017;Transect arthropode Session 1;Diptera;Tephritis divisa;1
OLSER;2017;Transect arthropode Session 2;Diptera;Tephritis;1
CIROB;2018;Transect arthropode Session 1;Diptera;Tephritis;1
EIDER;2017;Transect arthropode Session 1;Arachnida;Tenuiphantes tenuis;1
ALBAR;2017;Transect arthropode Session 1;Arachnida;Tenuiphantes tenuis;1
ALBAR;2017;Transect arthropode Session 2;Arachnida;Tenuiphantes tenuis;1
PERIS;2017;Transect arthropode Session 2;Arachnida;Tenuiphantes tenuis;1
GTMBA;2017;Transect arthropode Session 2;Arachnida;Tenuiphantes tenuis;1
CD93;2019;Transect arthropodes P1;Araneae;Tenuiphantes tenuis;1
FAUTEM;2019;Transect arthropodes P1;Araneae;Tenuiphantes tenuis;1
GRENEL;2019;Transect arthropodes P1;Araneae;Tenuiphantes tenuis;1
PAREX;2019;Transect arthropodes P1;Araneae;Tenuiphantes tenuis;1
EIDER;2017;Transect arthropode Session 2;Arachnida;Tenuiphantes ;1
LUAUB;2017;Transect arthropode Session 1;Arachnida;Tenuiphantes;1
ECOBIO_BOIS;2017;Transect arthropode Session 1;Arachnida;Tenuiphantes;1
AMROU;2017;Transect arthropode Session 1;Arachnida;Tenuiphantes;1
AMROU;2018;Transect arthropode Session 1;Arachnida;Tenuiphantes;1
ANTHEU;2018;Transect arthropode Session 1;Arachnida;Tenuiphantes;1
LUAUB;2018;Transect arthropode Session 1;Arachnida;Tenuiphantes;1
FONTA;2018;Transect arthropode Session 1;Arachnida;Tenuiphantes;1
SIBUET;2018;Transect arthropode Session 1;Arachnida;Tenuiphantes;1
ECOBIO_PRAIRIE;2018;Transect arthropode Session 2;Arachnida;Tenuiphantes;1
AMROU;2018;Plaques;Arachnida;Tenuiphantes;1
CIROB;2018;Transect arthropode Session 1;Hymenoptera;Temnothorax;1
AMROU;2018;Plaques;Arachnida;Tegenaria parietina;1
BOUHOP;2017;Plaques;Arachnida;Tegenaria;1
PULMA;2017;Transect arthropode Session 2;Hymenoptera;Tapinoma nigerrimum;1
PULMA;2018;Transect arthropode Session 1;Hymenoptera;Tapinoma nigerrimum;1
PULMA;2019;Transect arthropodes P1;Hyménoptères;Tapinoma;1
GUER;2019;Transect arthropodes P1;Coléoptères;Tachyporus;1
MOZIN_SANS_GESTION;2017;Transect arthropode Session 1;Heteroptera;Syromastus rhombeus;1
FRANK;2017;Transect arthropode Session 1;Heteroptera;Syromastus rhombeus;1
CHAVIN;2017;Transect arthropode Session 1;Heteroptera;Syromastus rhombeus;1
OLSER;2017;Transect arthropode Session 2;Heteroptera;Syromastus rhombeus;1
CIMOD;2018;Transect arthropode Session 1;Diptera;Syritta pipiens;1
GOOPL;2018;Transect arthropode Session 1;Arachnida;Synema globosum ;1
GOOPL;2017;Transect arthropode Session 1;Arachnida;Synema globosum;1
WWF;2019;Transect arthropodes P1;Araneae;Synaema globosum;1
WWF;2019;Transect arthropodes P2;Araneae;Synaema globosum;1
GTMBA;2017;Transect arthropode Session 2;Odonata;Sympetrum striolatum;1
ROROL;2018;Transect arthropode Session 1;Odonata;Sympetrum fonscolombii;1
ROROL;2017;Plaques;Coleoptera;Sunius;1
FAUTEM;2017;Transect arthropode Session 1;Mollusca;Succinea putris;1
MECHO;2017;Transect arthropode Session 1;Mollusca;Succinea putris;1
PULMA;2018;Transect arthropode Session 1;Coleoptera;Subcoccinella vigintiquatuorpunctata;1
MOZIN_SANS_GESTION;2018;Transect arthropode Session 2;Heteroptera;Stygnocoris sabulosus;1
AMROU;2018;Plaques;Heteroptera;Stygnocoris;1
OLSER;2017;Transect arthropode Session 1;Heteroptera;Stictopleurus punctatonervosus;1
MOZIN_SANS_GESTION;2017;Transect arthropode Session 1;Heteroptera;Stictopleurus punctatonervosus;1
ROROL;2017;Transect arthropode Session 2;Heteroptera;Stictopleurus punctatonervosus;1
OLSER;2017;Transect arthropode Session 2;Heteroptera;Stictopleurus abutilon;1
BOUTOU;2018;Transect arthropode Session 2;Heteroptera;Stictopleurus abutilon;1
GTMBA;2019;Transect arthropodes P1;Hétéroptères;Stictopleurus abutilon;1
CIROB;2017;Transect arthropode Session 1;Heteroptera;Stictopleurus;1
CIROB;2017;Transect arthropode Session 2;Homoptera;Stictocephala bisonia;1
ECOBIO_BOIS;2017;Transect arthropode Session 2;Homoptera;Stictocephala bisonia;1
GTMBA;2017;Transect arthropode Session 2;Homoptera;Stictocephala bisonia;1
FAUTEM;2018;Transect arthropode Session 2;Homoptera;Stictocephala bisonia;1
GTMBA;2018;Transect arthropode Session 2;Homoptera;Stictocephala bisonia;1
SEINE;2019;Transect arthropodes P2;Homoptères;Stictocephala bisonia;1
SEINE;2018;Transect arthropode Session 1;Coleoptera;Stethorus pusillus;1
GRENEL;2018;Transect arthropode Session 1;Coleoptera;Stethorus pusillus;1
ECOBIO_PRAIRIE;2017;Transect arthropode Session 2;Coleoptera;Stenus;1
CD93;2018;Transect arthropode Session 2;Coleoptera;Stenus;1
OLSER;2017;Transect arthropode Session 1;Coleoptera;Stenolophus teutonus;1
ECOBIO_BOIS;2017;Transect arthropode Session 1;Heteroptera;Stenodema laevigata;1
MOZIN_SANS_GESTION;2017;Transect arthropode Session 1;Heteroptera;Stenodema laevigata;1
CIROB;2017;Transect arthropode Session 1;Heteroptera;Stenodema laevigata;1
BOUTOU;2018;Transect arthropode Session 1;Heteroptera;Stenodema laevigata;1
FRANK;2018;Transect arthropode Session 1;Heteroptera;Stenodema laevigata;1
FRANK;2017;Transect arthropode Session 1;Heteroptera;Stenodema calcarata;1
PULMA;2018;Transect arthropode Session 1;Heteroptera;Stenodema calcarata;1
AMROU;2017;Transect arthropode Session 1;Heteroptera;Stenodema;1
FRANK;2017;Transect arthropode Session 2;Heteroptera;Stenodema;1
GRENEL;2018;Transect arthropode Session 1;Heteroptera;Stenodema;1
ECOBIO_BOIS;2018;Transect arthropode Session 2;Heteroptera;Stenodema;1
ECOBIO_PRAIRIE;2018;Transect arthropode Session 2;Heteroptera;Stenodema;1
GRENEL;2018;Transect arthropode Session 2;Heteroptera;Stenodema;1
ALBAR;2018;Transect arthropode Session 1;Arachnida;Steatoda triangulosa;1
PULMA;2017;Transect arthropode Session 1;Arachnida;Steatoda grossa;1
EIDER;2017;Transect arthropode Session 2;Arachnida;Steatoda grossa;1
MECHO;2018;Transect arthropode Session 1;Arachnida;Steatoda grossa;1
PULMA;2018;Transect arthropode Session 1;Arachnida;Steatoda grossa;1
MECHO;2017;Transect arthropode Session 1;Diptera;Sphenella marginata;1
ROROL;2018;Transect arthropode Session 1;Diptera;Sphenella marginata;1
CHAVIN;2017;Transect arthropode Session 2;Hymenoptera;Sphecodes scabricollis;1
CIROB;2017;Transect arthropode Session 2;Diptera;Sphaerophoria scripta;1
MOZIN_SANS_GESTION;2017;Transect arthropode Session 2;Diptera;Sphaerophoria scripta;1
WWF;2017;Transect arthropode Session 2;Diptera;Sphaerophoria scripta;1
CIMOD;2018;Transect arthropode Session 1;Diptera;Sphaerophoria scripta;1
MOZIN_AVEC_GESTION;2018;Transect arthropode Session 1;Diptera;Sphaerophoria scripta;1
MECHO;2018;Transect arthropode Session 1;Diptera;Sphaerophoria scripta;1
SEINE;2018;Transect arthropode Session 1;Diptera;Sphaerophoria scripta;1
CIROB;2018;Transect arthropode Session 1;Diptera;Sphaerophoria scripta;1
ALBAR;2019;Transect arthropodes P1;Diptères;Sphaerophoria scripta;1
BOUCHA;2019;Transect arthropodes P1;Diptères;Sphaerophoria scripta;1
FRANK;2019;Transect arthropodes P1;Diptères;Sphaerophoria scripta;1
OLSER;2019;Transect arthropodes P1;Diptères;Sphaerophoria scripta;1
PULMA;2019;Transect arthropodes P1;Diptères;Sphaerophoria scripta;1
SEINE;2019;Transect arthropodes P1;Diptères;Sphaerophoria scripta;1
CIROB;2019;Transect arthropodes P2;Diptères;Sphaerophoria scripta;1
MOZIN_SANS_GESTION;2019;Transect arthropodes P2;Diptères;Sphaerophoria scripta;1
OLSER;2017;Transect arthropode Session 1;Diptera;Sphaerophoria;1
SIBUET;2017;Transect arthropode Session 1;Hymenoptera;Solierella compedita;1
FRANK;2019;Transect arthropodes P2;Coléoptères;Sitona lineatus;1
SEINE;2019;Transect arthropodes P2;Coléoptères;Sitona lineatus;1
SEINE;2019;Transect arthropodes P1;Coléoptères;Sitona ;1
FRANK;2017;Transect arthropode Session 1;Coleoptera;Sitona;1
FAUTEM;2017;Transect arthropode Session 2;Chilopoda;Sigibius;1
RUWAT;2017;Plaques;Chilopoda;Sigibius;1
MECHO;2019;Plaques;Chilopodes;Sigibius;1
GTMBA WILD;2019;Transect arthropodes P2;Chilopodes;Sigibius;1
ECOBIO_BOIS;2018;Transect arthropode Session 2;Diptera;Sepsis punctum;1
GRENEL;2018;Transect arthropode Session 2;Diptera;Sepsis punctum;1
OLSER;2018;Transect arthropode Session 1;Diptera;Sepsis;1
WWF;2018;Transect arthropode Session 1;Heteroptera;Sehirus morio;1
CIROB;2018;Transect arthropode Session 2;Arachnida;Segestria florentina;1
BOUHOP;2017;Transect arthropode Session 1;Coleoptera;Scymnus rubromaculatus;1
PERIS;2019;Transect arthropodes P2;Coléoptères;Scymnus rubromaculatus;1
EIDER;2018;Transect arthropode Session 1;Coleoptera;Scymnus interruptus;1
GUER;2019;Transect arthropodes P2;Coléoptères;Scymnus interruptus;1
GOOPL;2019;Transect arthropodes P2;Coléoptères;Scymnus;1
CIMOD;2018;Transect arthropode Session 2;Heteroptera;Sciocoris microphthalmus;1
CHAVIN;2017;Transect arthropode Session 2;Heteroptera;Sciocoris cursitans;1
PROMA;2019;Transect arthropodes P2;Hétéroptères;Sciocoris cursitans;1
ANTHEU;2018;Transect arthropode Session 1;Diptera;Sciara;1
PROMA;2019;Transect arthropodes P1;Diptères;Sciara;1
RUWAT;2018;Transect arthropode Session 2;Hymenoptera;Scelio;1
OLSER;2017;Transect arthropode Session 1;Diptera;Scaeva pyrastri;1
EIDER;2017;Transect arthropode Session 1;Diptera;Scaeva;1
ECOBIO_BOIS;2017;Transect arthropode Session 1;Arachnida;Sardinidion blackwalli;1
RUWAT;2018;Transect arthropode Session 1;Diptera;Sarcophaga;1
WWF;2019;Transect arthropodes P2;Diptères;Sarcophaga;1
MOZIN_SANS_GESTION;2019;Transect arthropodes P2;Diptères;Sapromyzosoma laevatrispina;1
GRENEL;2018;Transect arthropode Session 2;Diptera;Sapromyza sexpunctata;1
EIDER;2019;Transect arthropodes P2;Araneae;Salticus scenicus ;1
ROROL;2018;Plaques;Arachnida;Saitis barbipes;1
ANTHEU;2017;Transect arthropode Session 1;Arachnida;Runcinia grammica;1
FRANK;2017;Transect arthropode Session 1;Arachnida;Runcinia grammica;1
MOZIN_SANS_GESTION;2017;Transect arthropode Session 2;Arachnida;Runcinia grammica;1
CIMOD;2018;Transect arthropode Session 1;Arachnida;Runcinia grammica;1
MECHO;2018;Transect arthropode Session 1;Arachnida;Runcinia grammica;1
FRANK;2018;Transect arthropode Session 1;Arachnida;Runcinia grammica;1
GRENEL;2018;Transect arthropode Session 1;Arachnida;Runcinia grammica;1
BOUTOU;2018;Transect arthropode Session 2;Arachnida;Runcinia grammica;1
CARON;2018;Transect arthropode Session 2;Arachnida;Runcinia grammica;1
GOOPL;2018;Transect arthropode Session 2;Arachnida;Runcinia grammica;1
CD93;2019;Transect arthropodes P1;Araneae;Runcinia grammica;1
CIROB;2019;Transect arthropodes P1;Araneae;Runcinia grammica;1
KELLER;2019;Transect arthropodes P1;Araneae;Runcinia grammica;1
PULMA;2019;Transect arthropodes P1;Araneae;Runcinia grammica;1
ECOBIO_PRAIRIE;2019;Transect arthropodes P2;Araneae;Runcinia grammica;1
EIDER;2019;Transect arthropodes P2;Araneae;Runcinia grammica;1
GTMBA WILD;2019;Transect arthropodes P2;Araneae;Runcinia grammica;1
MOZIN_SANS_GESTION;2019;Transect arthropodes P2;Araneae;Runcinia grammica;1
MOZIN_SANS_GESTION;2019;Transect arthropodes P2;Araneae;Runcinia grammica;1
ROROL;2019;Transect arthropodes P2;Araneae;Runcinia grammica;1
SEINE;2018;Transect arthropode Session 1;Orthoptera;Roeseliana roeselii;1
SEINE;2018;Transect arthropode Session 2;Orthoptera;Roeseliana roeselii;1
MOZIN_SANS_GESTION;2018;Transect arthropode Session 2;Orthoptera;Roeseliana roeselii;1
BOUTOU;2017;Transect arthropode Session 1;Coleoptera;Rhyzobius litura;1
BOUTOU;2018;Transect arthropode Session 1;Coleoptera;Rhyzobius litura;1
CHAVIN;2018;Transect arthropode Session 1;Coleoptera;Rhyzobius litura;1
AMROU;2017;Transect arthropode Session 1;Coleoptera;Rhyzobius chrysomeloides;1
PULMA;2019;Transect arthropodes P2;Coléoptères;Rhyzobius;1
WWF;2018;Plaques;Heteroptera;Rhyparochromus vulgaris;1
MOZIN_SANS_GESTION;2018;Transect arthropode Session 2;Heteroptera;Rhyparochromus vulgaris;1
GOOPL;2017;Transect arthropode Session 1;Heteroptera;Rhyparochromus;1
WWF;2017;Transect arthropode Session 1;Heteroptera;Rhyparochromus;1
MOZIN_SANS_GESTION;2017;Transect arthropode Session 1;Heteroptera;Rhyparochromus;1
WWF;2017;Transect arthropode Session 2;Heteroptera;Rhyparochromus;1
FRANK;2018;Transect arthropode Session 1;Heteroptera;Rhyparochromus;1
BOUTOU;2018;Transect arthropode Session 2;Heteroptera;Rhyparochromus;1
CHAVIN;2018;Plaques;Heteroptera;Rhyparochromus;1
AMROU;2019;Transect arthropodes P2;Hétéroptères;Rhyparochromus;1
WWF;2019;Transect arthropodes P2;Hétéroptères;Rhyparochromus;1
PAREX;2017;Transect arthropode Session 2;Heteroptera;Rhynocoris;1
FRANK;2017;Transect arthropode Session 1;Heteroptera;Rhopalus subrufus;1
CHAVIN;2017;Transect arthropode Session 1;Heteroptera;Rhopalus subrufus;1
MECHO;2017;Transect arthropode Session 2;Heteroptera;Rhopalus subrufus;1
GTMBA;2017;Transect arthropode Session 2;Heteroptera;Rhopalus subrufus;1
OLSER;2019;Transect arthropodes P1;Hétéroptères;Rhopalus subrufus;1
OLSER;2017;Transect arthropode Session 1;Heteroptera;Rhopalus parumpunctatus;1
WWF;2017;Transect arthropode Session 1;Heteroptera;Rhopalus conspersus;1
GOOPL;2018;Transect arthropode Session 1;Heteroptera;Rhopalus conspersus;1
FRANK;2017;Transect arthropode Session 2;Heteroptera;Rhopalus;1
MOZIN_SANS_GESTION;2017;Transect arthropode Session 1;Coleoptera;Rhopalapion longirostre;1
ECOBIO_BOIS;2017;Transect arthropode Session 2;Coleoptera;Rhopalapion longirostre;1
MOZIN_AVEC_GESTION;2018;Transect arthropode Session 1;Coleoptera;Rhopalapion longirostre;1
KELLER;2019;Transect arthropodes P1;Coléoptères;Rhopalapion;1
MOZIN_SANS_GESTION;2019;Transect arthropodes P2;Coléoptères;Rhopalapion;1
GTMBA;2017;Transect arthropode Session 1;Coleoptera;Rhagonycha fulva;1
SEINE;2019;Transect arthropodes P1;Coléoptères;Rhagonycha fulva;1
WWF;2017;Transect arthropode Session 2;Heteroptera;Raglius alboacuminatus;1
ECOBIO_PRAIRIE;2017;Transect arthropode Session 1;Heteroptera;Pyrrhocoris apterus;1
WWF;2017;Transect arthropode Session 1;Heteroptera;Pyrrhocoris apterus;1
MOZIN_SANS_GESTION;2017;Transect arthropode Session 1;Heteroptera;Pyrrhocoris apterus;1
GTMBA;2017;Transect arthropode Session 1;Heteroptera;Pyrrhocoris apterus;1
PULMA;2017;Transect arthropode Session 1;Heteroptera;Pyrrhocoris apterus;1
MOZIN_SANS_GESTION;2017;Transect arthropode Session 2;Heteroptera;Pyrrhocoris apterus;1
ECOBIO_PRAIRIE;2017;Transect arthropode Session 2;Heteroptera;Pyrrhocoris apterus;1
WWF;2017;Transect arthropode Session 2;Heteroptera;Pyrrhocoris apterus;1
SIBUET;2017;Transect arthropode Session 2;Heteroptera;Pyrrhocoris apterus;1
EIDER;2018;Transect arthropode Session 1;Heteroptera;Pyrrhocoris apterus;1
GTMBA;2018;Transect arthropode Session 1;Heteroptera;Pyrrhocoris apterus;1
CIROB;2018;Transect arthropode Session 1;Heteroptera;Pyrrhocoris apterus;1
PULMA;2018;Transect arthropode Session 1;Heteroptera;Pyrrhocoris apterus;1
